,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,sum,class
0,12.0,2.0,29.0,2.0,0.0,0.039165527,2.7046504,69.056915,12.331795,15.136584,12.245051,222.9361,68.77884,41.149216,32.120857,39.92894,41.162354,-1.0,-1.0,39.683014,0.89529413,0.07890062,0.9220055,2.288118,-41.56592,7.562157,-1.0,9.02836,-9.02836,0.18534555,0.0063858824,0.043201342,1.6236715,0.543009,0.604765,0.604765,0
1,14.0,2.0,39.0,2.0,0.0,0.033535972,2.8768535,85.78411,12.665839,15.394637,12.22823,304.05884,92.67912,55.338604,44.55497,53.96847,55.336098,-1.0,-1.0,54.464764,0.9512604,0.07033677,0.9295346,2.7431338,-57.073845,9.909794,-1.0,10.783633,-10.783633,0.25815272,0.006629279,0.040001515,1.659542,0.518732,0.613974,0.613974,0
2,16.0,2.0,48.0,2.0,0.0,0.029787002,2.8995132,97.34156,12.621452,15.388051,12.297773,409.17932,115.53734,68.10905,55.99878,66.63993,68.10504,-1.0,-1.0,66.978226,0.94828534,0.07084438,0.92898864,3.4005303,-63.396908,10.979448,-1.0,12.110272,-12.110272,0.34054697,0.007104782,0.042789362,1.6994268,0.510159,0.623923,0.623923,0
3,18.0,2.0,57.0,2.0,0.0,0.026052792,3.1258357,119.980835,11.736342,15.231459,12.388541,525.7642,138.71976,80.87949,67.396484,79.35069,80.8741,-1.0,-1.0,80.16346,0.97012144,0.077948436,0.9218623,4.443061,-66.13689,12.766973,-1.0,13.483008,-13.483008,0.3953876,0.0069481316,0.045277357,1.7233043,0.519331,0.633266,0.633266,0
4,20.0,2.0,65.0,2.0,0.0,0.021422131,2.7197397,126.95934,9.391176,14.929113,12.481245,656.3782,159.95203,92.231,77.807495,90.8534,92.22733,-1.0,-1.0,91.22835,0.96455324,0.09149268,0.90839416,5.9470243,-60.250862,13.420853,-1.0,14.42351,-14.42351,0.37318325,0.005737973,0.05093852,1.7440202,0.537622,0.651436,0.651436,0
5,22.0,2.0,72.0,2.0,0.0,0.020268638,2.6370645,130.10565,8.02732,14.538459,12.566661,792.2525,179.18275,102.163574,87.78237,100.825356,102.16082,-1.0,-1.0,101.560425,0.97880423,0.11682603,0.8830976,8.411474,-49.12644,13.778053,-1.0,14.381203,-14.381203,0.3823621,0.005301089,0.05927991,1.7648281,0.563623,0.680905,0.680905,0
6,24.0,2.0,77.0,2.0,0.0,0.022578591,2.309558,102.28973,6.5217357,14.100198,12.644895,939.25793,194.18022,109.25827,94.59255,107.995056,109.259315,-1.0,-1.0,107.70566,0.9552943,0.15621881,0.84380835,12.028849,-28.052277,13.113103,-1.0,14.665712,-14.665712,0.35443398,0.004612223,0.062070318,1.7720268,0.580058,0.707731,0.707731,0
7,26.0,2.0,81.0,2.0,0.0,0.030408185,2.3498797,77.27787,5.3181405,13.686541,12.716104,1087.1672,206.79868,114.93402,101.83387,113.88632,114.93665,-1.0,-1.0,115.23913,1.0031341,0.21913199,0.78093284,17.749691,0.12313319,13.405256,-1.0,13.10015,-13.10015,0.31561297,0.0038990448,0.062953115,1.7932868,0.588715,0.73121,0.73121,0
8,28.0,2.0,84.0,2.0,0.0,0.040548243,2.3080366,56.920753,3.4690523,13.33249,12.782478,1235.3497,216.83571,119.190834,108.52122,118.45523,119.19554,-1.0,-1.0,123.46809,1.0972692,0.33453593,0.6655764,28.101017,40.961666,14.946872,-1.0,10.669622,-10.669622,0.22243477,0.002645694,0.061962057,1.817153,0.5899085,0.735276,0.735276,0
9,30.0,2.0,85.0,2.0,0.0,0.03767088,2.121645,56.320557,1.9841287,13.061883,12.843831,1384.7965,222.30006,120.60977,106.12729,119.96825,120.61431,-1.0,-1.0,124.69702,1.0910578,0.5739555,0.4261514,48.786217,87.17967,18.569735,-1.0,14.48249,-14.48249,0.10972322,0.0012966017,0.04182541,1.761444,0.587169,0.701331,0.701331,0
