,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,4mean,class
0,12.0,2.0,31.0,2.0,0.0,0.0,0.0,0.0,11.209037,15.280325,12.256619,193.64299,72.83876,43.987095,43.987095,42.48609,43.736343,-1.0,-1.0,44.52801,1.0329168,0.0784063,0.90541625,2.4305952,-45.61681,0.5409168,-1.0,0.0,0.0,0.1826526,0.005897338,0.03511886,1.8671862,0.50654775,0.784824,0
1,14.0,2.0,40.0,2.0,0.0,0.0,0.0,0.0,9.984396,15.44488,12.251605,280.29788,95.07773,56.75754,56.75754,55.055023,56.375847,-1.0,-1.0,57.360756,1.0279021,0.07296727,0.9079479,2.9186907,-57.979065,0.6032146,-1.0,0.0,0.0,0.21159449,0.0052881814,0.041257307,1.8956356,0.48488972,0.775306,0
2,16.0,2.0,50.0,2.0,0.0,0.0,0.0,0.0,8.646921,15.479718,12.320359,380.74188,119.736534,70.94693,70.94693,68.99406,70.492516,-1.0,-1.0,71.88759,1.0350537,0.07272926,0.909094,3.636463,-65.8712,0.94066185,-1.0,0.0,0.0,0.25527945,0.005106441,0.0491723,1.9146962,0.4765366,0.763769,0
3,18.0,2.0,59.0,2.0,0.0,0.0,0.0,0.0,10.0160055,15.302566,12.409752,497.48456,143.04828,83.71738,83.71738,81.57121,83.17943,-1.0,-1.0,84.37597,1.019606,0.08029167,0.9014727,4.737209,-69.60118,0.6585955,-1.0,0.0,0.0,0.3371473,0.0057137227,0.045608006,1.930754,0.48385772,0.748553,0
4,20.0,2.0,67.0,2.0,0.0,0.0,0.0,0.0,10.799733,14.984725,12.496057,626.0332,164.8962,95.06888,95.06888,92.86127,94.53404,-1.0,-1.0,95.651566,1.0147061,0.096466005,0.8875686,6.4632225,-61.297703,0.5826838,-1.0,0.0,0.0,0.4607621,0.0068741967,0.05434838,1.9406329,0.5037564,0.729109,0
5,22.0,2.0,74.0,2.0,0.0,0.0,0.0,0.0,8.781389,14.584163,12.581531,778.93024,184.10588,105.00145,105.00145,102.95089,104.572945,-1.0,-1.0,106.32244,1.0332757,0.12002083,0.8683977,8.881541,-50.502605,1.3209896,-1.0,0.0,0.0,0.44301605,0.0059840097,0.055757556,1.9553919,0.5304859,0.72128,0
6,24.0,2.0,79.0,2.0,0.0,0.0,0.0,0.0,6.9683924,14.135859,12.658027,942.5977,199.3343,112.096146,112.096146,110.29463,111.79332,-1.0,-1.0,113.685715,1.0380763,0.15844777,0.83388543,12.517374,-28.366709,1.5895706,-1.0,0.0,0.0,0.39781857,0.0050327624,0.06213324,1.9644233,0.5540012,0.727467,0
7,26.0,2.0,83.0,2.0,0.0,0.0,0.0,0.0,5.5597973,13.713984,12.729108,1124.4036,211.71802,117.7719,117.7719,116.24162,117.715225,-1.0,-1.0,120.19637,1.0564779,0.22108853,0.7775458,18.350348,1.1185442,2.4244747,-1.0,0.0,0.0,0.35378486,0.004260047,0.06836953,1.9733782,0.56872404,0.744888,0
8,28.0,2.0,85.0,2.0,0.0,0.0,0.0,0.0,3.9848306,13.346887,12.793904,1312.2086,219.96034,120.60977,120.60977,119.3783,120.80094,-1.0,-1.0,127.339714,1.1565956,0.34357223,0.66092545,29.20364,43.51906,6.7299385,-1.0,0.0,0.0,0.24440736,0.0028889393,0.074237615,1.9768504,0.575135,0.7542935,0
9,30.0,2.0,86.0,2.0,0.0,0.0,0.0,0.0,1.885706,13.072597,12.853383,1495.2198,225.60634,122.02872,122.02872,121.510826,122.506,-1.0,-1.0,128.21344,1.1425602,0.5965137,0.41458514,51.30018,92.38599,6.184726,-1.0,0.0,0.0,0.09612954,0.0011139602,0.04738907,1.9727236,0.57652646,0.7318345,0
