,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,4mean,class
0,14.0,2.0,40.0,2.0,0.0,0.0,0.0,0.0,8.531389,0.0,0.0,276.32013,95.530106,56.75754,56.75754,55.20249,56.38429,-1.0,-1.0,59.97902,1.1587077,0.07398934,0.9073479,2.9595735,-56.160576,3.2214777,-1.0,0.0,0.0,0.18914294,0.0047285887,0.032754306,1.8888707,0.0,0.54728,0
1,18.0,2.0,59.0,2.0,0.0,0.0,0.0,0.0,7.3672547,0.0,0.0,480.40286,144.21492,83.71738,83.71738,81.82975,83.13704,-1.0,-1.0,89.3053,1.1866298,0.08058156,0.89974576,4.754312,-68.18972,5.5879245,-1.0,0.0,0.0,0.25765166,0.0043633957,0.03567835,1.9131801,0.0,0.550344,0
2,22.0,2.0,74.0,2.0,0.0,0.0,0.0,0.0,6.8137345,0.0,0.0,756.5781,185.30391,105.00145,105.00145,102.999435,104.41469,-1.0,-1.0,111.9004,1.1839457,0.12270421,0.8614369,9.0801115,-45.65009,6.898947,-1.0,0.0,0.0,0.3336067,0.004506451,0.049629357,1.9399978,0.0,0.584912,0
3,26.0,2.0,84.0,2.0,0.0,0.0,0.0,0.0,4.0307226,0.0,0.0,1079.133,215.33867,119.190834,119.190834,117.66255,118.811226,-1.0,-1.0,127.83457,1.2036718,0.2205736,0.77038777,18.528183,1.8034221,8.643735,-1.0,0.0,0.0,0.23345104,0.0027831309,0.058965005,1.9510554,0.0,0.637312,0
4,30.0,2.0,87.0,2.0,0.0,0.0,0.0,0.0,1.5784811,0.0,0.0,1450.9736,228.96202,123.447655,123.447655,122.50005,123.38581,-1.0,-1.0,132.75958,1.2127961,0.58409595,0.41448146,50.81635,92.02823,9.31193,-1.0,0.0,0.0,0.066666886,0.00076886354,0.041420523,1.9563361,0.0,0.6693,0
0,14.0,2.0,44.0,2.0,0.0,0.0,0.0,0.0,6.06604,0.0,0.0,255.05406,100.593445,62.433296,62.433296,61.165264,62.00956,-1.0,-1.0,67.377304,1.2224362,0.06050259,0.9202363,2.662114,-56.3534,4.944009,-1.0,0.0,0.0,0.16782707,0.0038156265,0.02444829,1.8527039,0.0,0.538324,1
1,18.0,2.0,63.0,2.0,0.0,0.0,0.0,0.0,5.6639543,0.0,0.0,458.27222,148.68687,89.39313,89.39313,87.814064,88.78601,-1.0,-1.0,95.08784,1.1766084,0.080546245,0.90018004,5.0744133,-58.221863,5.69471,-1.0,0.0,0.0,0.24016057,0.0038099024,0.059895262,1.890412,0.0,0.593584,1
2,22.0,2.0,80.0,2.0,0.0,0.0,0.0,0.0,5.535212,0.0,0.0,734.26324,194.6642,113.51508,113.51508,111.9514,112.85245,-1.0,-1.0,119.91519,1.1547751,0.122130476,0.8613037,9.770438,-38.750854,6.400109,-1.0,0.0,0.0,0.29667532,0.0037069109,0.05116672,1.9246294,0.0,0.65358,1
3,26.0,2.0,92.0,2.0,0.0,0.0,0.0,0.0,3.5650086,0.0,0.0,1119.4169,231.49951,130.54234,130.54234,129.58673,130.12572,-1.0,-1.0,138.5841,1.1693343,0.22638749,0.7645548,20.827648,12.646255,8.041761,-1.0,0.0,0.0,0.21766953,0.0023643565,0.059347022,1.9709193,0.0,0.669432,1
4,30.0,2.0,99.0,2.0,0.0,0.0,0.0,0.0,1.010399,0.0,0.0,1567.4612,256.98883,140.47491,140.47491,140.21744,140.4044,-1.0,-1.0,152.23972,1.2344823,0.57746184,0.42111242,57.16872,104.83034,11.764801,-1.0,0.0,0.0,0.04152857,0.00041988766,0.025300786,1.9994797,0.0,0.568364,1
0,14.0,2.0,43.0,2.0,0.0,0.0,0.0,0.0,5.533292,0.0,0.0,264.0531,99.26227,61.01436,61.01436,59.695965,60.642223,-1.0,-1.0,65.4046,1.2027792,0.06725169,0.9154396,2.8918226,-60.46228,4.390245,-1.0,0.0,0.0,0.13567968,0.0031541379,0.03542434,1.8680084,0.0,0.345012,2
1,18.0,2.0,61.0,2.0,0.0,0.0,0.0,0.0,5.906874,0.0,0.0,462.24524,145.94756,86.55525,86.55525,85.01435,85.92665,-1.0,-1.0,92.76861,1.2003002,0.08285978,0.8965302,5.054446,-65.87812,6.2133574,-1.0,0.0,0.0,0.22926015,0.0037571841,0.033360507,1.8944994,0.0,0.381776,2
2,22.0,2.0,77.0,2.0,0.0,0.0,0.0,0.0,4.1470294,0.0,0.0,740.5752,189.45125,109.25827,109.25827,108.06029,108.634224,-1.0,-1.0,115.609,1.1615891,0.12742563,0.85636485,9.811773,-45.791405,6.350734,-1.0,0.0,0.0,0.20393619,0.0026476355,0.03745388,1.9289765,0.0,0.456588,2
3,26.0,2.0,88.0,2.0,0.0,0.0,0.0,0.0,3.3207548,0.0,0.0,1096.4945,222.61768,124.86659,124.86659,123.92135,124.44035,-1.0,-1.0,130.40883,1.1234403,0.24289034,0.7474222,21.37435,8.375771,5.5422378,-1.0,0.0,0.0,0.18450426,0.002099845,0.039255,1.9596163,0.0,0.510612,2
4,30.0,2.0,94.0,2.0,0.0,0.0,0.0,0.0,1.0828015,0.0,0.0,1520.5968,244.23782,133.38022,133.38022,132.85507,133.31776,-1.0,-1.0,137.35596,1.0836012,0.6277787,0.37089178,59.0112,106.57164,3.975735,-1.0,0.0,0.0,0.034685664,0.00036853077,0.0343254,1.9821225,0.0,0.523832,2
0,14.0,2.0,33.0,2.0,0.0,0.0,0.0,0.0,9.217252,0.0,0.0,206.39081,78.745186,46.82497,46.82497,45.909534,46.505116,-1.0,-1.0,48.02975,1.0720111,0.08575312,0.8948616,2.829853,-37.36527,1.2047793,-1.0,0.0,0.0,0.160711,0.0048710844,0.021085564,1.7699434,0.0,0.52546,3
