,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,4mean,class
0,14.0,2.0,41.0,2.0,0.0,0.0,0.0,0.0,9.2437105,15.510412,12.250614,277.09964,97.28088,58.17648,58.17648,56.477497,57.79467,-1.0,-1.0,61.95889,1.1822517,0.07163441,0.9097409,2.9370108,-57.434517,3.7824092,-1.0,0.0,0.0,0.20736644,0.0050583896,0.04170131,1.8901964,0.48702878,0.584919,0
1,18.0,2.0,60.0,2.0,0.0,0.0,0.0,0.0,7.030352,15.3438,12.401985,482.43774,146.11357,85.136314,85.136314,83.24926,84.54597,-1.0,-1.0,91.67763,1.2153527,0.078819424,0.9015027,4.7291656,-68.632835,6.5413156,-1.0,0.0,0.0,0.250201,0.004171713,0.035643313,1.9152737,0.48777777,0.583503,0
2,22.0,2.0,75.0,2.0,0.0,0.0,0.0,0.0,6.115756,14.6064415,12.579097,761.3431,187.4197,106.42039,106.42039,104.4292,105.83,-1.0,-1.0,113.225815,1.1790551,0.1200163,0.8642397,9.001223,-45.63998,6.8054247,-1.0,0.0,0.0,0.32377934,0.004323822,0.047185358,1.9432795,0.53458357,0.585626,0
3,26.0,2.0,85.0,2.0,0.0,0.0,0.0,0.0,4.2663517,13.733302,12.727892,1092.5588,217.58572,120.60977,120.60977,119.05394,120.2216,-1.0,-1.0,129.50365,1.2072399,0.21781823,0.7730478,18.51455,3.3122416,8.893871,-1.0,0.0,0.0,0.26870456,0.0031591086,0.055208717,1.9576756,0.57029074,0.613336,0
4,30.0,2.0,89.0,2.0,0.0,0.0,0.0,0.0,1.5396365,13.079724,12.855076,1471.7523,233.77486,126.28553,126.28553,125.450874,126.2286,-1.0,-1.0,136.43237,1.2268462,0.57998675,0.41873285,51.61882,95.35663,10.146844,-1.0,0.0,0.0,0.06742714,0.00075855234,0.03332769,1.964032,0.5772022,0.625609,0
0,14.0,2.0,44.0,2.0,0.0,0.0,0.0,0.0,5.961508,15.987257,12.580381,260.39798,100.84892,62.433296,62.433296,61.135227,61.99462,-1.0,-1.0,67.14843,1.2123029,0.060601886,0.9194584,2.666483,-54.403713,4.7151346,-1.0,0.0,0.0,0.16196665,0.0036808113,0.022123113,1.8617922,0.29958883,0.630015,1
1,18.0,2.0,64.0,2.0,0.0,0.0,0.0,0.0,6.796007,15.790839,12.649798,455.42023,150.72458,90.812065,90.812065,89.115875,90.19042,-1.0,-1.0,95.96116,1.1571681,0.0792582,0.9013155,5.072525,-60.140495,5.1490927,-1.0,0.0,0.0,0.28909707,0.00451733,0.05284047,1.8874779,0.29961076,0.633771,1
2,22.0,2.0,81.0,2.0,0.0,0.0,0.0,0.0,5.602128,15.023845,12.813801,738.2218,196.90976,114.93402,114.93402,113.397156,114.274445,-1.0,-1.0,121.85642,1.1662388,0.1188491,0.8648648,9.626777,-39.310047,6.9224014,-1.0,0.0,0.0,0.30431187,0.0037540304,0.058756575,1.9273558,0.30055794,0.651199,1
3,26.0,2.0,94.0,2.0,0.0,0.0,0.0,0.0,3.3626904,14.103533,12.982108,1127.3309,235.66472,133.38022,133.38022,132.4162,132.96187,-1.0,-1.0,142.33087,1.1855223,0.22550459,0.76559454,21.197432,13.790053,8.950649,-1.0,0.0,0.0,0.21096817,0.0022449114,0.054536678,1.9748217,0.31483883,0.667835,1
4,30.0,2.0,101.0,2.0,0.0,0.0,0.0,0.0,1.0651671,13.388417,13.132473,1589.3344,261.70822,143.31279,143.31279,143.00105,143.2434,-1.0,-1.0,156.6399,1.2612526,0.5692506,0.42937475,57.49431,107.11982,13.327101,-1.0,0.0,0.0,0.045933664,0.0004530948,0.02782755,2.007581,0.3315196,0.6383,1
