,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,class
0,14.0,2.0,39.0,2.0,0.0,0.0,0.0,0.0,10.581136,0.0,0.0,298.3349,92.88955,55.338604,55.338604,54.00741,55.233456,-1.0,-1.0,54.252132,0.94059217,0.070019014,0.9245889,2.7307415,-55.412743,-1.0864704,-1.0,0.0,0.0,0.2578245,0.006616007,0.030952977,1.9263108,0.0,0.613768,0
1,18.0,2.0,58.0,2.0,0.0,0.0,0.0,0.0,8.937123,0.0,0.0,511.2911,140.77959,82.29843,82.29843,80.88334,82.139465,-1.0,-1.0,82.11881,0.9893929,0.07600086,0.91851735,4.40805,-67.81051,-0.17962237,-1.0,0.0,0.0,0.34579316,0.005966645,0.03546785,1.9449582,0.0,0.633363,0
2,22.0,2.0,73.0,2.0,0.0,0.0,0.0,0.0,7.425583,0.0,0.0,782.1489,181.38686,103.58251,103.58251,102.33714,103.42654,-1.0,-1.0,103.03236,0.9807362,0.1139434,0.8817835,8.317868,-49.38266,-0.55015665,-1.0,0.0,0.0,0.41612592,0.0056977314,0.049419776,1.9576086,0.0,0.679076,0
3,26.0,2.0,83.0,2.0,0.0,0.0,0.0,0.0,4.450124,0.0,0.0,1085.3153,211.0533,117.7719,117.7719,117.09885,117.73659,-1.0,-1.0,118.159,1.0051823,0.21401107,0.78513825,17.762918,-0.072114244,0.3870983,-1.0,0.0,0.0,0.30586034,0.003670044,0.050169677,1.954104,0.0,0.729301,0
4,30.0,2.0,87.0,2.0,0.0,0.0,0.0,0.0,1.7878793,0.0,0.0,1404.53,227.00652,123.447655,123.447655,123.2214,123.50249,-1.0,-1.0,128.25551,1.1070749,0.5707249,0.43053553,49.65307,89.94675,4.807856,-1.0,0.0,0.0,0.09901098,0.0011246069,0.029039267,1.9391348,0.0,0.698501,0
0,14.0,2.0,43.0,2.0,0.0,0.0,0.0,0.0,9.494575,0.0,0.0,275.9581,97.760414,61.01436,61.01436,60.081665,60.895172,-1.0,-1.0,58.923965,0.8984149,0.06330678,0.93115,2.7221916,-51.853535,-2.0903914,-1.0,0.0,0.0,0.25764665,0.0059826714,0.025991507,1.888255,0.0,0.666236,1
1,18.0,2.0,61.0,2.0,0.0,0.0,0.0,0.0,6.5512147,0.0,0.0,483.17654,143.26253,86.55525,86.55525,85.79056,86.38162,-1.0,-1.0,84.862465,0.939458,0.076522894,0.9177845,4.6678967,-60.487953,-1.6927856,-1.0,0.0,0.0,0.29226252,0.004789391,0.034449957,1.9160337,0.0,0.681141,1
2,22.0,2.0,79.0,2.0,0.0,0.0,0.0,0.0,5.4182425,0.0,0.0,759.0011,190.2918,112.096146,112.096146,111.49966,111.915886,-1.0,-1.0,110.7314,0.9593258,0.11484109,0.88059527,9.072446,-41.9676,-1.3647445,-1.0,0.0,0.0,0.3174826,0.0040214066,0.038014427,1.9416666,0.0,0.698333,1
3,26.0,2.0,92.0,2.0,0.0,0.0,0.0,0.0,3.775472,0.0,0.0,1115.4264,228.50539,130.54234,130.54234,130.3731,130.49995,-1.0,-1.0,131.62956,1.0165682,0.20773193,0.7913462,19.111338,5.967987,1.0872173,-1.0,0.0,0.0,0.28332624,0.0030866174,0.04096473,1.9689516,0.0,0.710757,1
4,30.0,2.0,99.0,2.0,0.0,0.0,0.0,0.0,1.2407662,0.0,0.0,1527.0166,254.22516,140.47491,140.47491,140.79707,140.54123,-1.0,-1.0,147.23943,1.1305785,0.568134,0.43320557,56.245266,102.76424,6.764511,-1.0,0.0,0.0,0.07064458,0.00072064484,0.015266251,1.9845003,0.0,0.66878,1
0,14.0,2.0,43.0,2.0,0.0,0.0,0.0,0.0,6.4886637,0.0,0.0,293.72418,99.30406,61.01436,61.01436,59.77436,60.907555,-1.0,-1.0,63.83945,1.1280617,0.067637786,0.9273947,2.9084249,-54.527493,2.825094,-1.0,0.0,0.0,0.15122166,0.0035226084,0.0327711,1.9184694,0.0,0.516797,2
1,18.0,2.0,62.0,2.0,0.0,0.0,0.0,0.0,4.8919616,0.0,0.0,510.1519,147.32158,87.97419,87.97419,86.85628,87.80239,-1.0,-1.0,92.466324,1.140326,0.083101064,0.91135687,5.152266,-66.07184,4.4921346,-1.0,0.0,0.0,0.18531492,0.0029830078,0.040896516,1.9437861,0.0,0.504327,2
2,22.0,2.0,78.0,2.0,0.0,0.0,0.0,0.0,3.9957569,0.0,0.0,797.1115,190.83623,110.67721,110.67721,109.88837,110.51771,-1.0,-1.0,115.41756,1.1169268,0.12833323,0.867577,10.009992,-42.160564,4.740351,-1.0,0.0,0.0,0.18731363,0.0024044404,0.041663956,1.9679134,0.0,0.499186,2
3,26.0,2.0,89.0,2.0,0.0,0.0,0.0,0.0,2.5953403,0.0,0.0,1146.2593,224.0753,126.28553,126.28553,125.95065,126.24279,-1.0,-1.0,132.00362,1.1247567,0.24350919,0.75553006,21.672318,10.475318,5.7180867,-1.0,0.0,0.0,0.13141084,0.0014739013,0.04218757,1.9841552,0.0,0.508655,2
4,30.0,2.0,96.0,2.0,0.0,0.0,0.0,0.0,0.96028596,0.0,0.0,1538.624,248.13017,136.2181,136.2181,136.44899,136.2807,-1.0,-1.0,141.98418,1.1184782,0.61321855,0.38808554,58.86898,107.86718,5.7660775,-1.0,0.0,0.0,0.030677592,0.0003240277,0.01566272,1.9887993,0.0,0.515027,2
0,14.0,2.0,33.0,2.0,0.0,0.0,0.0,0.0,8.690214,0.0,0.0,245.74828,78.7542,46.82497,46.82497,46.081886,46.744972,-1.0,-1.0,48.45622,1.097358,0.08643719,0.9087143,2.8524272,-34.04617,1.6312472,-1.0,0.0,0.0,0.15245372,0.004629421,0.020780329,1.8368778,0.0,0.66642,3
1,18.0,2.0,49.0,2.0,0.0,0.0,0.0,0.0,6.914453,0.0,0.0,424.07336,119.0617,69.527985,69.527985,68.72216,69.40947,-1.0,-1.0,73.81064,1.1732489,0.096751966,0.89841044,4.740846,-43.289463,4.2826505,-1.0,0.0,0.0,0.21244419,0.0043450654,0.02414236,1.855228,0.0,0.653528,3
2,22.0,2.0,64.0,2.0,0.0,0.0,0.0,0.0,4.6761875,0.0,0.0,670.6287,159.62576,90.812065,90.812065,90.1357,90.689735,-1.0,-1.0,95.42024,1.1424828,0.1389904,0.85718673,8.895386,-27.034199,4.608176,-1.0,0.0,0.0,0.19150752,0.0029855336,0.034915127,1.8808041,0.0,0.640165,3
3,26.0,2.0,77.0,2.0,0.0,0.0,0.0,0.0,2.5940368,0.0,0.0,994.0067,197.30193,109.25827,109.25827,108.98335,109.22885,-1.0,-1.0,115.42107,1.1587182,0.23822767,0.7610082,18.34353,12.9465275,6.1627994,-1.0,0.0,0.0,0.114036724,0.0014723615,0.041942053,1.9090799,0.0,0.60903,3
4,30.0,2.0,85.0,2.0,0.0,0.0,0.0,0.0,0.79726946,0.0,0.0,1404.0571,224.95337,120.60977,120.60977,120.646736,120.6649,-1.0,-1.0,126.64805,1.1412061,0.62415195,0.3771448,53.052914,97.11445,6.038273,-1.0,0.0,0.0,0.020995546,0.0002475306,0.022252996,1.9389597,0.0,0.539774,3
0,14.0,2.0,46.0,2.0,0.0,0.0,0.0,0.0,6.978339,0.0,0.0,262.95285,101.75865,65.27117,65.27117,64.28162,65.15562,-1.0,-1.0,72.35607,1.3037448,0.06897331,0.9260024,3.1727722,-61.06685,7.084899,-1.0,0.0,0.0,0.17790121,0.0038591668,0.022417564,1.8661373,0.0,0.550563,4
