,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,class
0,14.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,21.781078,0.0,0.0,177.88217,40.868404,22.703016,22.703016,21.789074,22.663683,-1.0,-1.0,18.559193,0.47613785,0.16800508,0.82707804,2.6880813,-0.9537006,-4.143824,-1.0,0.0,0.0,0.21049713,0.013153738,0.028892849,1.7214593,0.0,0.44616398,0
1,18.0,2.0,24.0,2.0,0.0,0.0,0.0,0.0,18.969297,0.0,0.0,296.3275,61.768345,34.054523,34.054523,32.861057,33.991604,-1.0,-1.0,29.093441,0.5804497,0.18578725,0.8089694,4.458894,0.5643656,-4.961084,-1.0,0.0,0.0,0.30867067,0.012868382,0.042336464,1.7238022,0.0,0.37657803,0
2,22.0,2.0,31.0,2.0,0.0,0.0,0.0,0.0,15.73583,0.0,0.0,472.58942,81.324356,43.987095,43.987095,42.685337,43.93042,-1.0,-1.0,37.886826,0.60086256,0.2680008,0.7283428,8.308025,12.322588,-6.100269,-1.0,0.0,0.0,0.34870756,0.011259515,0.0537215,1.7444134,0.0,0.31261483,0
3,26.0,2.0,36.0,2.0,0.0,0.0,0.0,0.0,11.616616,0.0,0.0,705.5946,97.05052,51.081787,51.081787,49.75325,51.073856,-1.0,-1.0,44.98962,0.6571307,0.47480142,0.52475774,17.092852,32.564926,-6.092167,-1.0,0.0,0.0,0.33056855,0.0091948295,0.056303587,1.7668649,0.0,0.27534193,0
4,30.0,2.0,37.0,2.0,0.0,0.0,0.0,0.0,3.7431047,0.0,0.0,992.5162,104.02103,52.500725,52.500725,51.239826,52.52292,-1.0,-1.0,41.602642,0.408726,0.8557842,0.14541557,31.664015,49.474472,-10.898084,-1.0,0.0,0.0,0.09963515,0.0026893462,0.048581973,1.7865372,0.0,0.25303894,0
0,14.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,21.737709,0.0,0.0,177.72339,40.868057,22.703016,22.703016,21.790037,22.66382,-1.0,-1.0,18.55911,0.4761272,0.16800511,0.8270953,2.6880817,-0.9532565,-4.143906,-1.0,0.0,0.0,0.20998204,0.0131205525,0.029588703,1.7211891,0.0,0.45692635,1
1,18.0,2.0,24.0,2.0,0.0,0.0,0.0,0.0,18.968653,0.0,0.0,296.15262,61.768898,34.054523,34.054523,32.86016,33.990433,-1.0,-1.0,29.09135,0.5802756,0.18577075,0.8088882,4.458498,0.56166095,-4.9631743,-1.0,0.0,0.0,0.3090155,0.012870185,0.041085597,1.7236223,0.0,0.46204665,1
2,22.0,2.0,31.0,2.0,0.0,0.0,0.0,0.0,15.322044,0.0,0.0,472.4572,81.32374,43.987095,43.987095,42.720314,43.93047,-1.0,-1.0,37.890793,0.60112005,0.26798636,0.7283605,8.307577,12.319304,-6.0963016,-1.0,0.0,0.0,0.3376949,0.010884544,0.054138154,1.7443223,0.0,0.473132,1
3,26.0,2.0,36.0,2.0,0.0,0.0,0.0,0.0,11.612824,0.0,0.0,706.46533,97.049126,51.081787,51.081787,49.7535,51.073856,-1.0,-1.0,44.98992,0.6571492,0.47481054,0.5247487,17.09318,32.56639,-6.0918655,-1.0,0.0,0.0,0.33018082,0.009168688,0.055664618,1.7672943,0.0,0.489201,1
4,30.0,2.0,37.0,2.0,0.0,0.0,0.0,0.0,3.7409554,0.0,0.0,994.0037,104.020676,52.500725,52.500725,51.24204,52.52392,-1.0,-1.0,41.604492,0.4088269,0.8558049,0.14544818,31.664782,49.474815,-10.896234,-1.0,0.0,0.0,0.09936482,0.0027005684,0.04992324,1.787088,0.0,0.5146047,1
