,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,class
0,16.0,2.0,18.0,2.0,0.0,0.0,0.0,,21.88994,0.0,0.0,-561.48596,27.783382,25.540894,25.540894,25.554737,25.53646,-1.0,-1.0,19.345917,0.31135583,0.047190085,0.9523176,0.8494215,-30.689373,-6.194977,-1.0,0.0,0.0,0.13330454,0.0074146325,0.007896458,0.68783706,0.0,0.896719,0
1,24.0,2.0,34.0,2.0,0.0,0.0,0.0,,19.15283,0.0,0.0,-1234.0411,54.07517,48.24391,48.24391,48.26624,48.222553,-1.0,-1.0,36.711723,0.32131758,0.0390068,0.9597368,1.3262312,-65.54746,-11.5321865,-1.0,0.0,0.0,0.2426883,0.0071414514,0.01564733,0.70479435,0.0,0.900904,0
2,32.0,2.0,52.0,2.0,0.0,0.0,0.0,,20.310017,0.0,0.0,-2156.43,85.708,73.784805,73.784805,73.792946,73.73165,-1.0,-1.0,56.46287,0.3334297,0.03725041,0.9607053,1.9370214,-97.86088,-17.321932,-1.0,0.0,0.0,0.46080083,0.008865791,0.019977761,0.7169756,0.0,0.914366,0
3,40.0,2.0,65.0,2.0,0.0,0.0,0.0,,22.211185,0.0,0.0,-3182.7422,114.63662,92.231,92.231,92.16887,92.12822,-1.0,-1.0,69.30656,0.2942804,0.0421439,0.9546936,2.7393534,-110.97843,-22.924448,-1.0,0.0,0.0,0.7154425,0.011007593,0.026831318,0.75586724,0.0,0.916388,0
4,48.0,2.0,71.0,2.0,0.0,0.0,0.0,,24.080963,0.0,0.0,-4215.56,136.20049,100.74464,100.74464,100.6395,100.6236,-1.0,-1.0,75.069824,0.2763881,0.05533294,0.9412576,3.9286387,-98.12961,-25.674812,-1.0,0.0,0.0,0.94120085,0.013256972,0.029210005,0.8090485,0.0,0.921398,0
5,56.0,2.0,73.0,2.0,0.0,0.0,0.0,,28.133036,0.0,0.0,-5232.567,151.88394,103.58251,103.58251,103.38936,103.48143,-1.0,-1.0,76.08714,0.24633989,0.07879098,0.91843975,5.7517414,-73.71258,-27.49537,-1.0,0.0,0.0,1.2095172,0.016576208,0.03602784,0.86275584,0.0,0.926705,0
6,64.0,2.0,75.0,2.0,0.0,0.0,0.0,,31.084717,0.0,0.0,-6312.1665,166.927,106.42039,106.42039,106.14112,106.313774,-1.0,-1.0,78.36655,0.25149527,0.11620678,0.8809501,8.715508,-47.172203,-28.053843,-1.0,0.0,0.0,1.526727,0.020363338,0.035983544,0.9052531,0.0,0.930794,0
7,72.0,2.0,76.0,2.0,0.0,0.0,0.0,,32.85085,0.0,0.0,-7380.5347,179.42279,107.839325,107.839325,107.53221,107.79747,-1.0,-1.0,78.2131,0.2200796,0.18101117,0.81788737,13.756849,-11.117997,-29.626232,-1.0,0.0,0.0,1.7377975,0.022863667,0.03852737,0.9443671,0.0,0.93046,0
8,80.0,2.0,77.0,2.0,0.0,0.0,0.0,,29.921785,0.0,0.0,-8501.321,191.13339,109.25827,109.25827,108.98632,109.27017,-1.0,-1.0,80.37817,0.24956828,0.3193491,0.6809603,24.589882,33.480766,-28.8801,-1.0,0.0,0.0,1.8095309,0.023524854,0.043001287,0.97616136,0.0,0.924414,0
9,88.0,2.0,80.0,2.0,0.0,0.0,0.0,,18.476452,0.0,0.0,-9871.406,206.03525,113.51508,113.51508,113.23855,113.55902,-1.0,-1.0,84.25832,0.2682652,0.62173444,0.3793641,49.738754,86.04826,-29.25676,-1.0,0.0,0.0,1.360319,0.0169856,0.037450947,0.9940329,0.0,0.908484,0
0,16.0,2.0,5.0,2.0,0.0,0.0,0.0,,51.03338,0.0,0.0,89.49798,16.939804,7.0946927,7.0946927,7.0901594,7.0935397,-1.0,-1.0,4.891865,0.11873298,0.18367405,0.8158646,0.91837025,-2.2107053,-2.202828,-1.0,0.0,0.0,0.102059595,0.0204157,0.0023930203,1.5354724,0.0,0.550106,1
1,24.0,2.0,8.0,2.0,0.0,0.0,0.0,,44.22155,0.0,0.0,243.6441,28.380123,11.351508,11.351508,11.307916,11.347478,-1.0,-1.0,7.8904076,0.13458374,0.1342694,0.864723,1.0741552,-4.993744,-3.4611008,-1.0,0.0,0.0,0.15084048,0.018858438,0.0036694608,1.5599363,0.0,0.548657,1
2,32.0,2.0,13.0,2.0,0.0,0.0,0.0,,39.26638,0.0,0.0,308.1935,46.24517,18.446201,18.446201,18.334816,18.429968,-1.0,-1.0,12.961574,0.1560442,0.103531785,0.8939707,1.3459132,-10.82972,-5.4846272,-1.0,0.0,0.0,0.24811307,0.019069497,0.0060693356,1.519262,0.0,0.54868,1
3,40.0,2.0,19.0,2.0,0.0,0.0,0.0,,35.06967,0.0,0.0,430.78766,67.77152,26.959831,26.959831,26.77413,26.917835,-1.0,-1.0,19.036327,0.1657676,0.09229712,0.9032824,1.7536453,-15.733471,-7.923505,-1.0,0.0,0.0,0.3466083,0.018250586,0.0077818027,1.508686,0.0,0.546256,1
4,48.0,2.0,26.0,2.0,0.0,0.0,0.0,,31.429058,0.0,0.0,662.5492,92.83579,36.892403,36.892403,36.689396,36.868935,-1.0,-1.0,26.177935,0.17561647,0.10671592,0.8914789,2.7746139,-17.057947,-10.714467,-1.0,0.0,0.0,0.4840626,0.01863678,0.009881055,1.5147934,0.0,0.66909,1
5,56.0,2.0,32.0,2.0,0.0,0.0,0.0,,31.705896,0.0,0.0,1197.4899,115.88365,45.406033,45.406033,45.12702,45.350975,-1.0,-1.0,32.192432,0.1739253,0.13876432,0.8577947,4.4404583,-13.731543,-13.213601,-1.0,0.0,0.0,0.6623566,0.020712942,0.0138258245,1.5462228,0.0,0.692875,1
6,64.0,2.0,39.0,2.0,0.0,0.0,0.0,,30.99835,0.0,0.0,1798.4125,142.57047,55.338604,55.338604,54.996277,55.26859,-1.0,-1.0,39.536144,0.18937996,0.18169536,0.8147141,7.0861187,-4.979003,-15.802459,-1.0,0.0,0.0,0.86815906,0.022230545,0.017916288,1.5652937,0.0,0.704261,1
