,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,sum,class
0,12.0,2.0,30.0,2.0,0.0,0.3039156,2.9789393,9.801864,0.657995,18.975136,12.801436,125.67167,62.020065,42.568157,44.7325,42.512756,42.57008,-1.0,-1.0,52.10475,1.440921,0.00471756,0.9954111,0.1415268,-76.480965,7.3722525,-1.0,2.164343,2.164343,0.00706212,0.0002358501,0.012222741,2.3638031,0.77085745,0.7390317,0.7390317,0
1,14.0,2.0,40.0,2.0,0.0,0.4864387,2.7840776,5.7233887,0.6860487,19.30908,12.74724,166.3561,82.46773,56.75754,60.457798,56.876476,56.75895,-1.0,-1.0,70.70048,1.5090154,0.007402682,0.99266756,0.2961073,-93.757866,10.242678,-1.0,3.7002585,3.7002585,0.008772268,0.00022036431,0.013268335,2.3602006,0.83154625,0.705127,0.705127,0
2,16.0,2.0,50.0,2.0,0.0,0.5050158,2.8790824,5.700975,0.7348692,19.02062,12.759235,211.78677,103.38746,70.94693,76.68892,71.101494,70.94905,-1.0,-1.0,89.901985,1.57721,0.013376656,0.98670816,0.6688328,-113.02554,13.213065,-1.0,5.7419934,5.7419934,0.0133791445,0.00026848714,0.010442825,2.3610704,0.85334545,0.76443774,0.76443774,0
3,18.0,2.0,59.0,2.0,0.0,0.37622643,2.8354506,7.536554,0.6497037,18.166786,12.801625,259.1338,122.64047,83.71738,92.01742,83.91124,83.72055,-1.0,-1.0,107.82181,1.6429203,0.023280956,0.97682697,1.3735764,-131.1381,15.804393,-1.0,8.300041,8.300041,0.011191947,0.00018868556,0.007285488,2.359413,0.87678313,0.87289566,0.87289566,0
4,20.0,2.0,65.0,2.0,0.0,0.37043726,2.7133796,7.324802,0.5938715,16.858793,12.853951,301.78857,135.8648,92.231,103.42622,92.577286,92.23505,-1.0,-1.0,120.90457,1.7190996,0.04062647,0.959498,2.6407206,-111.66718,17.478344,-1.0,11.195222,11.195222,0.013159122,0.00020072349,0.009604728,2.3456442,0.9255217,0.9496481,0.9496481,0
5,22.0,2.0,69.0,2.0,0.0,0.33297044,2.6723914,8.025912,0.55395794,15.4930935,12.880631,322.71283,142.8528,97.90676,111.83589,98.14222,97.91079,-1.0,-1.0,130.20189,1.7928498,0.07144396,0.9286731,4.929633,-90.09535,18.365997,-1.0,13.929132,13.929132,0.01138679,0.00016548923,0.013922758,2.2875721,0.9735017,0.9822324,0.9822324,0
6,24.0,2.0,70.0,2.0,0.0,0.6552744,2.8336196,4.324325,0.6725638,14.252895,12.852304,306.15076,141.56793,99.3257,114.86449,99.35392,99.32925,-1.0,-1.0,133.15558,1.850371,0.12975153,0.8703497,9.082607,-48.12659,18.291094,-1.0,15.538787,15.538787,0.012851021,0.0001827194,0.019247273,2.172433,0.9804654,0.99445856,0.99445856,0
7,26.0,2.0,68.0,2.0,0.0,0.2566452,3.001312,11.694402,0.6716272,13.315114,12.805014,231.0635,132.64581,96.48782,111.87652,96.427025,96.49057,-1.0,-1.0,132.92879,1.9805949,0.25359896,0.7464819,17.24473,14.04008,21.052265,-1.0,15.388701,15.388701,0.0130089065,0.00019138807,0.02346498,1.9870529,0.9024469,0.9973157,0.9973157,0
0,12.0,2.0,19.0,2.0,0.0,0.6730198,3.3621082,4.995556,1.0428087,16.134443,11.693216,125.01179,45.13844,26.959831,32.2521,26.74807,26.960594,-1.0,-1.0,38.22275,1.6374273,0.0014594069,0.9986207,0.02772873,-60.294636,5.97065,-1.0,5.2922697,5.2922697,0.0148565015,0.0007855317,0.1084763,2.5656164,0.8965212,0.88969666,0.8896963,1
1,14.0,2.0,24.0,2.0,0.0,0.7248005,3.4930997,4.8193946,0.96568394,16.126043,12.118485,172.03651,58.1032,34.054523,41.016163,33.93888,34.05648,-1.0,-1.0,48.950188,1.6516911,0.005291981,0.99487144,0.12700754,-63.597263,7.9340234,-1.0,6.9616394,6.9616394,0.0155217275,0.0006469041,0.035198864,2.586744,0.90562516,0.82408977,0.82408977,1
