,Unnamed: 0,Unnamed: 0.1,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,class
0,0,0,14.0,14.0,33.0,2.0,0.0,0.0,0.0,0.0,8.404334,0.0,0.0,124.063896,76.496666,46.82497,46.82497,42.18772,46.757534,-1.0,-1.0,62.133224,1.0911547,0.0020239393,0.993889,0.06679,-71.00792,15.308253,-1.0,0.0,0.0,0.3382451,0.010245988,0.11445521,1.6299316,0.0,0.63095236,0
1,1,1,42.0,14.0,67.0,2.0,0.0,0.0,0.0,0.0,2.5196621,0.0,0.0,3886.7402,225.01631,95.06888,95.06888,91.586945,94.733765,-1.0,-1.0,124.248276,0.56355906,0.0027458868,0.9872507,0.18397442,-328.7071,29.179394,-1.0,0.0,0.0,0.16235861,0.002411731,0.19901943,2.1533945,0.0,0.6015873,0
2,2,2,70.0,14.0,73.0,2.0,0.0,0.0,0.0,0.0,1.4870211,0.0,0.0,13908.733,273.1882,103.58251,103.58251,102.82143,104.529144,-1.0,-1.0,136.8694,0.3048189,0.0017438899,1.0241911,0.12730396,-330.41245,33.28689,-1.0,0.0,0.0,0.08623201,0.0011943326,0.23691581,2.3651109,0.0,0.68015873,0
3,3,3,98.0,14.0,73.0,2.0,0.0,0.0,0.0,0.0,1.0015659,0.0,0.0,25413.322,296.6437,103.58251,103.58251,103.218666,104.14927,-1.0,-1.0,136.57434,0.15727687,0.0014054918,1.0141221,0.1026009,-323.04688,32.99183,-1.0,0.0,0.0,0.061754566,0.0008424359,0.24080673,2.3009782,0.0,0.69920635,0
4,4,4,126.0,14.0,62.0,2.0,0.0,0.0,0.0,0.0,1.0239711,0.0,0.0,,,87.97419,87.97419,87.51092,88.22969,-1.0,-1.0,120.450066,0.12845694,0.0015751588,1.0066671,0.09765985,-272.16736,32.475876,-1.0,0.0,0.0,0.060530927,0.0009611645,0.18809555,,0.0,0.7039682,0
5,5,5,154.0,14.0,63.0,2.0,0.0,0.0,0.0,0.0,2.3272874,0.0,0.0,,,89.39313,89.39313,86.78198,89.43104,-1.0,-1.0,119.68991,0.86095697,0.030098027,0.97110546,1.8961756,-238.12422,30.296783,-1.0,0.0,0.0,0.16701186,0.0027250003,0.19866967,,0.0,0.58809525,0
6,6,6,182.0,14.0,47.0,2.0,0.0,0.0,0.0,0.0,2.0733418,0.0,0.0,,,66.69011,66.69011,64.39615,66.618164,-1.0,-1.0,90.9109,1.3675696,0.044244785,0.95269346,2.079505,-150.12004,24.220785,-1.0,0.0,0.0,0.13564959,0.002833841,0.14777271,,0.0,0.5,0
7,7,0,14.0,14.0,62.0,2.0,0.0,0.0,0.0,0.0,0.30375895,0.0,0.0,403.58966,118.3746,87.97419,87.97419,88.595856,87.833824,-1.0,-1.0,109.90369,1.6762898,0.030166846,0.9653054,1.8703444,-99.26837,21.929497,-1.0,0.0,0.0,0.00646258,0.00010460266,0.24237141,2.1053154,0.0,0.43138042,1
8,8,1,42.0,14.0,57.0,2.0,0.0,0.0,0.0,0.0,2.4538727,0.0,0.0,4512.841,159.18587,80.87949,80.87949,81.37525,80.58,-1.0,-1.0,93.93361,1.43468,0.043251075,0.9462405,2.4653113,-111.072556,13.054112,-1.0,0.0,0.0,0.10631599,0.0018349622,0.2165028,2.2717052,0.0,0.4598716,1
9,9,2,70.0,14.0,51.0,2.0,0.0,0.0,0.0,0.0,5.9197254,0.0,0.0,13868.627,167.86792,72.36587,72.36587,73.65082,73.05312,-1.0,-1.0,79.54832,1.262056,0.061509937,0.9654415,3.1370068,-94.098114,7.1824517,-1.0,0.0,0.0,0.21718396,0.004295157,0.1947807,2.3623827,0.0,0.45264846,1
